size,lat,lon
2.134182,31.946214,-87.738490
4.215860,34.746489,-87.698948
7.157837,34.795108,-87.685093
5.078383,33.596158,-86.667501
4.963914,34.446233,-86.936560
3.752436,34.221556,-86.159441
3.575091,31.694501,-86.265424
4.747744,34.438455,-85.755743
7.632689,31.215884,-85.363008
3.250000,32.823774,-85.170188
3.814489,34.366053,-86.421267
5.169007,34.162739,-85.651366
7.378727,33.316633,-85.487442
6.528760,32.326946,-86.271034
10.635478,33.506189,-86.802097
2.919467,32.638064,-85.404126
4.301495,31.452153,-85.631397
2.195222,31.429256,-86.076371
8.837320,33.256073,-86.810348
2.756474,31.289046,-86.255503
6.674911,32.366562,-86.285721
